corpus_id;document_id;sentence_id;content
MusicBO;1;630;As a matter of fact, I had heard a rumour that Rockel had arrived on this very day, but as yet I had not obtained a glimpse of him.
MusicBO;1;945;this apparition recalled so many things affecting myself which reflected suspicion on the man, in particular the significance of his behaviour towards me in Berlin on the last occasion.
MusicBO;1;65;My special aim was to turn the attention of the few who really took the matter seriously, from the external form of the government to its intrinsic value.
MusicBO;1;490;I heard afterwards that a charge of high treason on account of sedition had been brought against Schroder-Devrient by reason of her conduct in regard to this matter.
MusicBO;1;547;The rest of the day passed in continuous negotiations over the truce which, by arrangement with the Saxon troops, was to last until noon of the next day.
MusicBO;1;553;"Everybody was afraid to take this course; on the other hand, great expectations were entertained from negotiations with the Frankfort States Assembly, which was on its last legs."
MusicBO;1;823;On being asked for their names Heubner had announced himself in a tone of authority, and had bidden the town councillors come to him at a certain hotel.
MusicBO;1;915;These two people, who had been joined by a few intimates, received me with such respectful curiosity and sympathy that I felt at home with them at once.
MusicBO;1;1121;Thus for a while I enjoyed comparative peace, although in my heart a spirit of unrest had begun to reign, thanks to my growing acquaintance with Feuerbach's works.
MusicBO;1;91;I travelled by way of Breslau, where I looked up an old friend of my family, the musical director Mosewius, at whose house I spent an evening.
MusicBO;1;141;He also informed me that he had not only reprimanded them very severely, but that he had also been at great pains to pacify them concerning me.
MusicBO;1;533;Rietschel, who seemed to think I was better informed of the facts than he was, assured me that he felt his position was a very difficult one.
MusicBO;1;959;He too thought I must be counting on making a hit in Paris, and was sure that I had a very good chance of doing so. '
MusicBO;1;73;The astounded audience seemed to remember nothing of the speech of the Orchestral Conductor Royal save the incidental attack I had made upon the court sycophants.
MusicBO;1;244;This was all the more strange as I was quite unaccustomed to such coolness in regard to my work on the part of the Dresden public.
MusicBO;1;253;Except for those who were best informed as to the course of events—and who certainly did not swarm in our streets—these occurrences aroused great uneasiness everywhere.
MusicBO;1;500;Driven by a mechanical impulse I followed the stream of people, which moved once more in the direction of the Town Hall in the Old Market-place.
MusicBO;1;691;Nothing, however, that I have lived through can be compared with the impression that I received on my entry into the chambers of the Town Hall.
MusicBO;1;711;But as the latter had also got large reinforcements, large reinforcements again had been able to make an effective combined attack on the strong Wildstruf barricade.
MusicBO;1;899;I passed the night in a state of strange, feverish excitement, which lasted until the departure of the steamer on Lake Constance early in the morning.
MusicBO;1;907;"It was a lovely spring morning; across the broad lake I could gaze at the Alpine landscape as the Alpine landscape spread itself before my eyes."
MusicBO;1;291;This and other matters of a similar nature brought me into intimate contact with Eduard Devrient, and made our intercourse much more lively and pleasant.
MusicBO;1;433;Now that the powers of reaction were everywhere more and more openly bracing themselves for conflict, the final decisive struggle seemed indeed close at hand.
MusicBO;1;687;A truly terrible spectacle met my eyes, for I crossed those parts of the town in which preparations had been made for a house-to-house fight.
MusicBO;1;951;such a brilliant article about you is incredible that you should not seek to make any profit out of such a brilliant article about you.'
MusicBO;1;21;This well-informed and talkative young man showed his warm and hearty devotion to me more openly, and I felt bound to reciprocate his affection.
MusicBO;1;100;I made another interesting acquaintance in the person of Herr von Fonton, the Russian state councillor, and attache at the Russian Embassy in Vienna.
MusicBO;1;832;This last terrible experience made such an impression on me that I was incapable of breathing a word in connection with what had happened.
MusicBO;1;1289;I felt so upset by all this that I yielded to my craving for retirement, and sought it at no great distance from Paris.
MusicBO;1;1389;Unfortunately I again found myself reduced to a state of extreme nervous fatigue, in which the slightest effort produced a profuse and weakening perspiration.
MusicBO;1;1419;To all this I said not a word, but finally with a smile asked him whether he would like to go over to Zurich?
MusicBO;1;115;For the present, then, I had to satisfy myself with having read the plan of my theatre reform to a few attentive listeners.
MusicBO;1;591;I was itching to climb the Kreuz tower again, so as to get the widest possible survey over the whole field of action.
MusicBO;1;603;A sacred calm and peacefulness lay over the town and the wide suburbs of Dresden, which were visible from my point of vantage.
MusicBO;1;911;I hoped with his help to obtain a passport to France, as I was anxious not to arrive there as a political refugee.
MusicBO;1;1330;The situation was clear enough, and I decided to go to Bordeaux immediately in order to come to an understanding with my opponent
MusicBO;1;1339;I took leave of Karl the same day, in order to set out next morning from Geneva on my tedious journey across France.
MusicBO;1;7;My wife was quite frightened when My wife saw me come back late at night, tired out and very hoarse from shouting.
MusicBO;1;189;In reference to this, I immediately turned my thoughts to what was close at hand, and directed my attention to the theatre.
MusicBO;1;241;had, owing to his conspicuous loyalty at this critical time, especially to me, found exceptional favour in the eyes of our committees.
MusicBO;1;708;Bakinin then gave me a short and precise account of what had happened since I had left him on the previous morning.
MusicBO;1;810;I therefore went back to the coach, which, however, was still putting off its departure, as the road was blocked with troops.
MusicBO;1;876;I listened with curious feelings, amounting almost to contempt, to the speeches on this occasion, which were of every kind and description.
MusicBO;1;1204;Notwithstanding, Semper remained as of old a good, obliging, true-hearted fellow, and even Semper could not help putting up with him cheerfully.
MusicBO;1;1369;His mother also announced her intention of coming to visit us in Villeneuve with her daughter Emilie in a few days' time.
MusicBO;1;16;It was with a strange, and in its way quite a new, sensation that I bade farewell to this young lady.
MusicBO;1;38;The first was called the Deutscher Verein (German Union), whose programme aimed at 'a constitutional monarchy on the broadest democratic foundation.'
MusicBO;1;92;We had a most lively conversation, but, unfortunately, were unable to steer clear of the stirring political questions of the day.
MusicBO;1;174;The only drawback was that the price of the little weekly paper was too small to yield him a corresponding profit.
MusicBO;1;431;On the other hand, the whole political situation, both in Saxony and the rest of Germany, tended inevitably towards a catastrophe.
MusicBO;1;512;These latter now assembled in the Town Hall to decide what steps should be taken for the protection of the state.
MusicBO;1;619;From this I concluded that reasons of this kind act as far more powerful motives in the world than aesthetic considerations.
MusicBO;1;1164;I had written home for help, and had appealed to all the old friends I could think of, but in vain.
MusicBO;1;1255;The emotion aroused in me by finding such an exceptionally developed talent suddenly changed to anxiety when I heard her sing.
MusicBO;1;1385;There, at the foot of the colossal and beautiful Matterhorn, we could indeed consider ourselves cut off from the outer world.
MusicBO;1;434;My feelings of partisanship were not sufficiently passionate to make me desire to take any active share in these conflicts.
MusicBO;1;982;During the period when all news from Germany ceased I tried to occupy myself as far as possible with reading.
MusicBO;1;1096;I did my utmost to give her confidence and to make her believe that our present misfortunes were but momentary.
MusicBO;1;1149;It must have been this which Sulzer had in his mind when he spoke deprecatingly of Feuerbach's influence over me.
MusicBO;1;1221;The thought of returning to Zurich was as distasteful to me as the prospect of remaining any longer in Paris.
MusicBO;1;1357;I also added that our friendship could certainly not continue until Jessie had released herself from so humiliating a position.
MusicBO;1;116;All seemed to be convinced that the time was not opportune for putting forward such peaceable schemes of reform.
MusicBO;1;227;Later on I published this fairly extensive essay with the title of Die Nibelungen, but in working it out
MusicBO;1;386;We ought to imagine the whole of Europe with St. Petersburg, Paris, and London transformed into a vast rubbish-heap.
MusicBO;1;387;How could we expect the kindlers of such a fire to retain any consciousness after so vast a devastation?
MusicBO;1;398;As his life of permanent concealment was very dull, I occasionally invited him to spend an evening with me.
MusicBO;1;488;I met her on another occasion at the house of my old friend Heine, where Schroder-Devrient had taken refuge.
MusicBO;1;854;I thus had occasion to take alarm at a trait in his character which was entirely new to me.
MusicBO;1;930;Through this street funeral processions, announced by the muffled drum boats of the National Guard, passed practically every hour.
MusicBO;1;1138;It seemed right that the only true immortality should be that of sublime deeds and great works of art.
MusicBO;1;1202;Semper made at this time quite a good pastel portrait of me in his very best and earliest style.
MusicBO;1;1224;—I saw this work of Meyerbeer's break upon the world like the dawn heralding this day of disgraceful desolation.
MusicBO;1;1277;I returned to Paris, for the time being, stunned and full of uncertainty as to what to do next.
MusicBO;1;1340;But I was so exhausted by all this that I could not help thinking I was going to die.
MusicBO;1;36;This I sent to the Oesterreichischen Zeitung, where it was printed in their columns with my full signature.
MusicBO;1;401;I was similarly astonished at the manner in which a man drank wine from our ordinary-sized small glasses.
MusicBO;1;518;Everything seemed to depend on making the Saxon battalions in Dresden understand the paramount importance of their action.
MusicBO;1;565;Baden and the Palatinate were in the throes of a revolt on behalf of the whole of Germany.
MusicBO;1;569;Vigorous promises of support came from the Saxon Erzgebirge, as well as announcements that armed contingents were forthcoming.
MusicBO;1;590;For the rest of the day the battle confined itself to skirmishes by sharpshooters from the various positions.
MusicBO;1;771;Tell me frankly, so that I may know if I can rely on your friendship in the future?'
MusicBO;1;866;And in fact the news from Dresden, when we returned to Weimar the next day, was serious indeed.
MusicBO;1;975;We were soon joined by another refugee, young Heine, who had once wished to paint my Lohengrin scenery.
MusicBO;1;994;My saddest moment came when, after a long silence, I at last received a letter from my wife.
MusicBO;1;1020;After I had got over the first shock of her heartless behaviour, I was absolutely clear about this.
MusicBO;1;1111;But it was soon time to think of how to earn enough money to provide for us all.
MusicBO;1;1366;At last I arrived at Geneva, and returned to the Byron hotel, where Karl Hitter was awaiting me.
MusicBO;1;1374;On this occasion the respect and devotion shown me by each member of the family had delighted me.
MusicBO;1;342;It was long before this date that I first made the acquaintance of this most remarkable man.
MusicBO;1;378;Democracy, republicanism, and anything else of the kind a la Proudhon regarded as unworthy of serious consideration.
MusicBO;1;515;A general outcry immediately arose for measures to be adopted to prevent this incursion of foreign troops.
MusicBO;1;560;At home I found my two nieces, Clara and Ottilie Brockhaus, the daughters of my sister Louisa.
MusicBO;1;824;the town councillors had no sooner reached the hotel than they all three collapsed from excessive fatigue.
MusicBO;1;929;I was staying in the Rue Notre Dame de Lorette for the sake of being near Belloni.
MusicBO;1;968;We met again with no little pleasure, although we could not help smiling at our grotesque situation.
MusicBO;1;1004;Our youthful days of worry and care in Paris had undoubtedly been of benefit to us both.
MusicBO;1;1014;Unfortunately, and to my intense grief, I was forced to recognise that by acting in this way
MusicBO;1;1171;And by this means I was able to escape from the hampering narrowness of my home life.
MusicBO;1;1196;He had left his family in Dresden, from which town we soon received the most alarming news.
MusicBO;1;1297;This seemed a hint from Fate, and I felt I must seek shelter here at all costs.
MusicBO;1;1305;I even invited Kietz to come and stay with me and share the pleasures of my retreat.
MusicBO;1;190;The motive for this came not only from my own feelings, but also from external circumstances.
MusicBO;1;213;and then I gave up, not only all my exertions, but all my hopes as well.
MusicBO;1;343;For years I had come across his name in the newspapers, and always under extraordinary circumstances.
MusicBO;1;449;For this purpose I obtained leave of absence from my management for the second week in
MusicBO;1;472;The clang of this bell, so close at hand, made a profound impression upon me also.
MusicBO;1;528;The Old Town of Dresden, with its barricades, was an interesting enough sight for the spectators.
MusicBO;1;612;A change seemed to have been made in the plan of attack by the Prussian troops.
MusicBO;1;826;I heard further that the police had been removed to Altenburg under a strong military escort.
MusicBO;1;902;should I have to converse with them in accordance with the abovementioned irregularities in that document.
MusicBO;1;936;The only person there to give me a friendly welcome was the old clerk, Monsieur Henri.
MusicBO;1;998;Often during the recent extraordinary events I had even believed that my wife understood my feelings.
MusicBO;1;1316;from whence I travelled on to Geneva, there to await news from Frau Ritter in Dresden.
MusicBO;1;1424;Without breathing another syllable about all that had happened, we left the next day for Zurich.
MusicBO;1;1;This was the last of the newly inaugurated concerts that I ever conducted in Dresden.
MusicBO;1;354;Everything about him was colossal, and Balumin was full of a primitive exuberance and strength.
MusicBO;1;452;This event imposed upon me the friendly task of caring for Rockel and his family.
MusicBO;1;478;I only found his wife at home, as he was away on a holiday tour.
MusicBO;1;601;Sunday (the 7th of May) was one of the most beautiful days in the year.
MusicBO;1;606;It was impossible not to feel deeply impressed at the sight of this continuous procession.
MusicBO;1;686;At last I reached the Town Hall in the Altstadt, just as night was falling.
MusicBO;1;864;I was filled with strange musings as to my fate when I visited this castle.
MusicBO;1;912;I had been on very friendly terms with Muller once upon a time at Wurzburg.
MusicBO;1;956;Whereupon I assured him that I was not thinking of writing any scores at all.
MusicBO;1;1093;I must honestly confess that the little dog and the bird made me very happy.
MusicBO;1;275;I did not make any remark, nor ask the reason for this singular behaviour.
MusicBO;1;372;This annihilation of all civilisation was the goal upon which his heart was set.
MusicBO;1;463;One of the chief subjects under debate was the necessity of preparing for defence.
MusicBO;1;539;Professor Kochly, who was an eloquent speaker, was chosen to proclaim the new administration.
MusicBO;1;580;He was able to give me an extraordinarily accurate account of what had happened.
MusicBO;1;661;I must confess that this idea seemed to me magnificent and full of meaning.
MusicBO;1;840;Meanwhile, alarming news of the terrible conditions in Dresden continued to pour into Weimar.
MusicBO;1;898;At the gates I, together with the other passengers, was asked for my passport.
MusicBO;1;1371;Both ladies arrived in time to celebrate my thirtyseventh birthday on the twenty-second of
MusicBO;1;122;He was the first playwright I had ever seen in an official uniform.
MusicBO;1;426;This was shortly to be proved in the momentous insurrection of May, 1849.
MusicBO;1;462;On every side I heard a medley of wild proposals and hesitating responses.
MusicBO;1;475;My most pronounced sensation beyond this was one of great, almost extravagant, satisfaction.
MusicBO;1;526;Of course no one took any notice of these placards except intending informers.
MusicBO;1;1015;I lost all my power over her affections, and especially over her character.
MusicBO;1;1144;But what had really induced me to attach so much importance to Feuerbach
MusicBO;1;1146;secondly, that only that was real which could be ascertained by the senses.
MusicBO;1;1298;An extraordinarily small and narrow bedroom was shown me, which I immediately engaged.
MusicBO;1;1346;It was nine o'clock in the morning when I sent him this message.
MusicBO;1;320;We had at last to part with mutual shruggings of the shoulder.
MusicBO;1;554;Everything was to be done as far as possible in legal form.
MusicBO;1;1128;As an introduction to philosophy I now chose Hegel's Philosophy of History.
MusicBO;1;1215;It is true, the result of my writings was hardly less discouraging.
MusicBO;1;1263;The fact that Laussot had for some time been well aware of
MusicBO;1;1323;I was enjoying in preparing my poem of Siegfried's Tod for publication.
MusicBO;1;1348;, I received a summons from the police-station to present myself immediately.
MusicBO;1;111;later on I was to have no reason to be proud.
MusicBO;1;695;These tall men, at other times an object of considerable fear
MusicBO;1;701;I found Bakunin's outlook undisturbed, and his attitude firm and quiet.
MusicBO;1;725;My old friend Marschall von Bieberstein immediately proposed to accompany me.
MusicBO;1;839;I found it impossible to come to any conclusion about it.
MusicBO;1;897;From there I continued my journey by mail-coach straight to Lindau.
MusicBO;1;953;But what do you expect to get out of the revolution?'
MusicBO;1;1377;His mother and her daughter remained with us about a week.
MusicBO;1;1423;I can see no sense in anything either here or there.'
MusicBO;2;476;I now learned for the first time what the prevalent opinion was about these much-maligned occurrences in Germany, and I was in a position to defend my poor friend Rockel, who had been branded as a coward, and to put not only his conduct but also my own in a different light to that in which it had been regarded hitherto even by Hermann Franck, who afterwards expressed his sincere regret that he had so misunderstood us.
MusicBO;2;727;I felt that before entering on such a gigantic task as the music to my drama of the Nibelungen, I must positively make one final effort to see whether I could not, in some new environment, attain an existence more in harmony with my feelings than I could possibly aspire to after so many compromises.
MusicBO;2;1055;As Sainton was at the head of the same orchestra which was at my disposal for the Philharmonic concerts, Sainton was able to foster an attitude of hostility to the undertakings for which I was responsible, and even my friend Sainton had to suffer from his animosity without actually realising the source of the annoyance.
MusicBO;2;2743;Our contract stipulated that for each of these three operas he was to pay me a sum of one thousand francs down, and further payments on their being performed in a Paris theatre, namely, one thousand francs after the first ten performances, and the same amount for the following performances up to the twentieth.
MusicBO;2;4075;To enter the old familiar hall of the Gewandhaus at Leipzig was enough in itself to cause me an uneasy feeling of depression, which was increased by my reception by the members of the orchestra—of whose estrangement I was keenly conscious—and to whom I had to introduce myself as an entire stranger.
MusicBO;2;1027;Unfortunately, my friends put down my protests to my sense of humour, and were not in the least spurred to exert themselves, with the result that I had to be very stern and almost rude the following winter, to deter them, once and for all, from making further demands upon me.
MusicBO;2;575;But even from this more important and grander expedition, and almost the only one I had ever undertaken purely for recreation, I returned with a strangely unsatisfied feeling, and I could not resist the longing for something decisive in the distance, that would give a fresh direction to my life.
MusicBO;2;1556;"During the months of January and February (1857) I completed the first act of Siegfried, writing down the composition in full to take the place of the earlier rough pencil draft, and immediately set to work on the orchestration; but I probably carried out Vaillant's instructions with too much zeal."
MusicBO;2;4322;he and several other musicians of the Imperial orchestra were all Germans, and on our arrival at the St. Petersburg railway station he and several other musicians of the Imperial orchestra joyfully introduced me to a further large contingent from the orchestra, headed by the committee of the Philharmonic Society.
MusicBO;2;1013;I did not quite know what to do, as, from a business point of view, it was of no advantage to me, and, as far as the conducting went, it was not much in my line, unless I could rely on at least a few high-class artistic productions.
MusicBO;2;2158;"At that time I had a particular affection for Stuttgart, owing to the reasons I have already mentioned; this was also true of Vienna, which had been the first place to produce Lohengrin, and, in consequence of its success, thought The Stuttgart Court Theatre necessary to secure Tannhauser."
MusicBO;2;1624;In the worst of tempers we spent a week in the inn, and I began to wonder whether it was worth while occupying this new piece of land at all, for I had a sudden foreboding that it would be my fate to wander further afield.
MusicBO;2;261;This clear and exhaustive treatise appeared to me admirably adapted to form the basis for a new theory of the higher art of musical phrasing, whereby Beethoven's most obscure construction might be explained, and elaborated into a comprehensible system that would allow of further application.
MusicBO;2;877;With regard to my own case, This young man (who had been born since the early days of my friendship with his father) stated that it could be easily remedied if we ascertained by careful experiments what metallic substance would specifically influence my nervous system.
MusicBO;2;2565;"I had only met her once before; this was during my visit to London in 1855, when Minna had made herself known to me by a letter in which Minna enthusiastically expressed her agreement with the opinions contained in my book Das Kunstwerk der Zukunft."
MusicBO;2;402;I began to breathe freely at last, because I had always felt that it was merely self-deception on my part to maintain that it would be possible to produce Junger Siegfried with the limited means at the disposal of even the best German theatre.
MusicBO;2;1665;With regard to the Nibelungen dramas, I was compelled to adhere without flinching to the one essential stipulation that it could only be produced under quite exceptional conditions, such as those I afterwards described in the preface to the printed edition of the poem.
MusicBO;2;2302;I enjoyed the curious charm of protecting myself against the extremes of the sun's heat by carefully keeping my room cool and dark, and going out on to my balcony only in the evening to surrender myself to the influence of the summer air.
MusicBO;2;4331;With me, on the contrary, Seroff entered into the most intimate understanding, as Seroff had so perfect an appreciation of me and my art that our intercourse became almost one of mere pleasantry, for on all serious points we were in entire agreement.
MusicBO;2;883;As far as the technique was concerned, I soon found myself in a difficulty when I started to write down the orchestral overture, conceived in Spezia in a kind of half-dream, in my usual way of sketching it out on two lines.
MusicBO;2;3009;I addressed an express request to this effect to the cabinet minister Walewsky, but received the answer that it was impossible to comply with my wishes, more particularly on account of the heavy expenses which had already been incurred in its preparation.
MusicBO;2;3548;Of this I made no secret in my occasional communications to the Wesendoncks, who, apparently to cheer me up, invited me to meet them in Venice, where the Wesendoncks, who, apparently to cheer me up were just going for a pleasure trip.
MusicBO;2;4782;Herr Pfistermeister informed me at the same time that Herr Pfistermeister was instructed to conduct me to Munich at once to see the King, and begged my permission to inform his master by telegram that I would come on the following day.
MusicBO;2;540;The next morning the visit to the islands themselves delighted me so much that I could not understand how I had managed to come upon anything so charming, and wondered what would result from the visit to the islands themselves.
MusicBO;2;37;, I was glad to be able to suggest a little change for him, and persuade him to go for a holiday to Weimar, where the first performance of Lohengrin was to take place about the end of August.
MusicBO;2;118;The sojourn of my young friends at St. Gall had been pleasantly varied during the previous winter by a visit to Zurich, when Hans made his appearance as pianist at one of the concerts of the musical society there.
MusicBO;2;914;"I purposely kept the fact of my sudden flight from them; I had my own reasons for doing so, and as even my young friends were rather interesting from a psychological point of view, I have never forgotten them."
MusicBO;2;956;At first I naturally found his ideas by no means palatable, and felt I could not readily abandon that so-called 'cheerful' Greek aspect of the world, with which I had looked out upon life in my Kunstwerk der Zukunft.
MusicBO;2;1918;, I gathered from what he said that he was also anxious about my Nibelungen work, in which he declared he had always taken the liveliest interest, and wanted my assurance that this composition would be produced at Weimar.
